kalimat,type
menemukan kekuatan blockchain bisnis dan teknologi buku besar didistribusikan dengan ikhtisar hyperledger dan perkenalan untuk kerangka utamanya. di seluruh pasar global ada buku besar yang harus dipercaya oleh organisasi dan individu. catatan teknologi blockchain menjanjikan transaksi perdagangan atau hanya barang-barang yang tidak pernah ingin hilang yang memungkinkan setiap orang dalam suatu ekosistem untuk menyimpan salinan sistem catatan umum. Kursus pengantar ini secara hati-hati dikuratori untuk khalayak teknis dan non-teknis. itu menguji blockchains untuk perusahaan dan sejumlah kasus penggunaan terkait dari hyperledger komunitas industri silang global dari komunitas yang diselenggarakan oleh fondasi linux dan memajukan teknologi blockchain bisnis. hyperledger menginkubasi dan mempromosikan perangkat lunak blockchain bisnis kelas sumber terbuka di mana setiap orang dapat mengatur aplikasi untuk memenuhi kebutuhan lintas industri. kursus ini mencakup fitur utama teknologi blockchain dan pembeda antara berbagai jenis proyek hyperledger. Kami akan mulai dengan apa itu blockchain dan membuka diskusi untuk mengidentifikasi kasus penggunaan blockchain yang sesuai untuk kebutuhan bisnis Anda. kemudian kami akan melakukan penyelaman mendalam ke dalam kerangka kerja blockchain hyperledger yang siap perusahaan dengan membimbing siswa melalui penerapan berbagai blockchain. siswa dengan latar belakang teknis akan belajar bagaimana untuk melakukan instalasi bersih dari hyperledger composer hyperledger indy hyperledger gigi gergaji dan kain hyperledger serta mengembangkan aplikasi sederhana di atasnya. Para mahasiswa dengan latar belakang bisnis akan mendapatkan pemahaman tentang cara kerja blockchain dan bagaimana mereka dapat menciptakan nilai bagi bisnis mereka melalui penghematan biaya dan efisiensi dalam hal kecepatan dan kesederhanaan. mereka akan melihat bagaimana informasi dihasilkan disimpan dan dibagikan di berbagai blockchain serta mendapatkan alat untuk mengevaluasi apakah solusi blockchain akan cocok untuk kasus bisnis khusus mereka.industri saat ini menggunakan teknologi blockchain untuk meningkatkan efisiensi dan memecahkan masalah bisnis yang terkait dengan pembagian informasi keamanan data privasi dan inklusi. berada di ujung tombak belajar tentang teknologi inovatif ini dan membawa nilai unik untuk bisnis Anda.,dm
mendeskripsikan blockchain bisnis dan teknologi buku besar terdistribusibanyak keakraban dengan proyek hyperledger saat ini dan lintas industri menggunakan casesperform instalasi bersih dari hyperledger composer hyperledger sawtooth dan hyperledger fabric frameworkmengeksplor contoh use case application dalam konteks hyperledger composer hyperledger indy hyperledger sawtooth dan hyperledger fabric frameworksuntuk membuat aplikasi sederhana di atas hyperledger sawtooth dan hyperledger fabricbecome yang terlibat dan berkontribusi pada proyek open source hyperledger,cp
pengenalan ke cloud foundry dan arsitektur perangkat lunak asli cloud,nm
"apakah tim Anda menggunakan cloud foundry untuk menyebarkan aplikasi atau apakah Anda ingin menggunakan cloud foundry tetapi belum memiliki waktu untuk mempelajari lingo maka tentu saja ini adalah apa yang Anda butuhkan cloud foundry membuatnya mudah bagi pengembang untuk memberikan nilai bisnis lebih cepat tanpa membuang waktu mendapatkan aplikasi mereka ke cloud itu sudah ada di sana. kursus ini adalah pengantar untuk pengecoran cloud termasuk distribusi yang tersedia untuk pengguna akhir ikhtisar dari komponen platform dan apa artinya menjadi cloud foundry certified. kursus ini juga mencakup instruksi teknis tentang cara menggunakan antarmuka baris perintah bagaimana aplikasi dikerahkan layanan apa yang berada dalam konteks sistem dan praktik debugging dasar. Pada akhirnya, lokakarya akan membawa Anda pada suatu tur melalui apa artinya membangun aplikasi asli cloud secara arsitektural dan ideologis. dalam melakukannya kami akan meninjau metode 12 faktor penyusunan sistem web terdistribusi modern.",dm
menjelajahi keamanan runtime dan jaringan pengecoran awan. how untuk membangun runtime dan dukungan kerangka dengan buildpacks. learn dua belas faktor aplikasi  pola desain untuk ketahanan dan skalabilitas. dan ambil langkah-langkah yang diperlukan untuk membuat aplikasi Anda cloud native . ∎ pahami bagaimana masing-masing komponen pengecoran awan bergabung untuk menyediakan platform asli cloud. Teknik-teknik dan contoh-contoh tstudy untuk menemukan masalah dalam sistem terdistribusi. n,cp
sejarah desain video game,nm
"video game sebagai media kembali lebih dari 50 tahun ke komputer mainframe. bahkan desain utama video game dapat ditelusuri kembali ke game pertama itu sendiri. Tidak perlu menjadi desainer game yang baik, itu penting untuk memiliki pemahaman tentang industri desain video yang menarik. nwe u2019ve bermitra dengan museum nasional yang kuat untuk memberi Anda tampilan unik ke dalam sejarah dari semua hal video game. pusat internasional untuk sejarah permainan elektronik pada yang kuat adalah kumpulan publik terbesar dan terlengkap dari gim video dan materi terkait di dunia. staf dirayakan ahli di bidang dan icheg dikunjungi oleh para ahli permainan video dari seluruh dunia. Anda akan mendapatkan wawasan luar biasa tentang sejarah gim video dengan eksplorasi artefak utama dari koleksi lebih dari 100.000 game dan materi elektronik.",dm
di mana video game pertama datang dari n video game thow terhubung ke pinball why industri jatuh di 80 u2019s when virtual reality vr pertama kali muncul di industri how permainan dari grafik masa lalu jalan menuju masa depan game n,cp
algoritmik maju dan teori grafik dengan python,nm
"algoritmik dan pemrograman adalah keterampilan dasar bagi mahasiswa teknik data dan analis penggemar komputer atau pengembang. Belajar bagaimana memrogram algoritma dapat menjadi membosankan jika Anda belum diberi kesempatan untuk segera mempraktekkan apa yang Anda pelajari. dalam kursus ini Anda memenabelum hanya fokus pada teori atau mempelajari katalog metode prosedur dan konsep sederhana. sebagai gantinya, Anda akan diberi tantangan di mana Anda akan diminta untuk mengalahkan algoritme yang telah kami tulis untuk Anda dengan menemukan solusi cerdas Anda sendiri. untuk lebih spesifik, Anda harus menyelesaikan rute lebih cepat daripada lawan melalui labirin saat mengambil objek. setiap minggu Anda akan belajar materi baru untuk meningkatkan kecerdasan buatan Anda untuk mengalahkan lawan Anda. struktur ini berarti bahwa sebagai pembelajar Anda akan menghadapi setiap gagasan abstrak dengan masalah dunia nyata. Kita akan membahas struktur data dasar dan algoritma lanjutan untuk graf teori akurasi akurasi trade off dan bahkan teori permainan kombinatorial. Kursus ini didukung oleh patrick dan lina drahi foundation.",dm
cara untuk mengekspresikan masalah komputasi seperti mencari jejak menggunakan teori graph untuk memilih algoritma yang tepat untuk memecahkan masalah komputasi yang diberikan bagaimana mengode solusi algoritmik dalam metode python untuk mengevaluasi solusi yang diusulkan dalam hal jumlah kompleksitas skalabilitas sumber daya atau latency akurasi kinerja,cp
microsoft profesional peredupan awan administrasi,nm
kursus ini adalah bagian dari program profesional microsoft dalam administrasi cloud. program ini adalah kurikulum komprehensif yang mengajarkan Anda bagaimana menerapkan infrastruktur biru. Dalam proyek akhir ini Anda akan melakukan tantangan untuk merancang dan mendokumentasikan solusi infrastruktur cloud biru berdasarkan apa yang telah Anda pelajari.,dm
menerapkan keterampilan administrator cloud yang Anda pelajari dalam program profesional microsoft. mengevaluasi proyek infrastruktur berskala besar dan mendokumentasikan solusi berbasis cloud yang di-hosting di microsoft biru. menjawab serangkaian pertanyaan berdasarkan skenario yang menunjukkan pemahaman Anda tentang tantangan teknis proyek infrastruktur cloud melakukan serangkaian tugas berbasis lab tempat Anda menerapkan dan mengelola infrastruktur cloud berdasarkan skenario yang diberikan.,cp
Microsoft profesional batu penjuru itu mendukung,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya mendukung dan berfungsi sebagai penilaian akhir untuk kurikulum. mendukung proyek batu penjuru termasuk tangan pada simulasi bermain peran difasilitasi dan wawancara kerja praktek opsional. Anda akan diberikan serangkaian tantangan seputar bidang-bidang pokok yang memvalidasi dan menilai pemahaman dan penguasaan aspek-aspek kunci yang terkait dengan dukungannya.,dm
itu mendukung keterampilan agen proses pengetahuan keterampilan profesional keterampilan komunikasi pemecahan masalah interpersonal dan dokumentasi,cp
microsoft profesional capstone big data,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam data besar. program profesional microsoft untuk data besar adalah kurikulum komprehensif yang mengajarkan Anda cara membuat solusi data besar. dalam proyek batu penjuru ini Anda akan melakukan tantangan untuk merancang menerapkan dan mendokumentasikan solusi data besar berdasarkan apa yang telah Anda pelajari.,dm
menerapkan keterampilan data besar yang telah Anda pelajari dalam program profesional microsoft untuk data besar untuk membangun solusi data besar.,cp
microsoft profesional batu permata buatan kecerdasan,nm
kursus ini adalah bagian dari program profesional microsoft dalam kecerdasan buatan. menunjukkan pengetahuan dan keterampilan yang Anda peroleh selama program profesional microsoft untuk kecerdasan buatan dan memecahkan masalah ai dunia nyata dalam proyek batu penjuru program ini. proyek ini mengambil bentuk tantangan di mana Anda akan mengembangkan solusi pembelajaran mendalam yang diuji dan dinilai untuk menentukan nilai Anda. Catatan kursus ini mengasumsikan Anda telah menyelesaikan kursus sebelumnya dalam program profesional microsoft untuk kecerdasan buatan.edx menawarkan bantuan keuangan untuk pelajar yang ingin mendapatkan sertifikat terverifikasi tetapi yang mungkin tidak dapat membayar biaya. untuk mengajukan permohonan bantuan keuangan untuk mendaftar di kursus lalu ikuti tautan ini untuk menyelesaikan permohonan bantuan.,dm
kursus ini tidak biasa karena merupakan ujian pengetahuan dan keterampilan yang telah Anda kembangkan dengan mengambil kursus lain. titik proyek batu penjuru ini adalah untuk memungkinkan untuk mendapatkan pengalaman menerapkan keterampilan ini untuk memecahkan masalah nyata.,cp
microsoft profesional ujung tombak front end pengembangan web,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft dalam pengembangan web ujung depan. siswa akan menggunakan pengetahuan dan keterampilan yang diperoleh dari kursus di ujung depan jalur pengembang web untuk program profesional microsoft untuk membuat satu halaman aplikasi spa yang berfokus pada solusi dunia nyata yang potensial. solusinya menawarkan pilihan untuk mengikuti kursus yang ditentukan situs belanja online atau mendapatkan persetujuan untuk situs web yang menguntungkan non-keuntungan dari pilihan s siswa. batu penjuru akan dinilai secara manual oleh pakar industri dan siswa akan diminta untuk terlibat dalam panggilan konferensi video dengan instruktur penilaian untuk membahas kode mereka. proyek yang sudah selesai harus menjadi sesuatu yang siswa akan bangga untuk menampilkan dalam portofolio mereka sendiri.,dm
proyek batu penjuru ini bukan tutorial melainkan proyek akhir yang dikembangkan oleh siswa berdasarkan spesifikasi yang disediakan di bagian konten.,cp
Microsoft profesional batu penjuru masuk tingkat pengembangan perangkat lunak,nm
"kursus ini adalah bagian dari program profesional microsoft dalam pengembangan perangkat lunak tingkat entri. setelah Anda menyelesaikan program pengembangan perangkat lunak tingkat pengembangan microsoft entry level, Anda akan memperoleh keterampilan penting sekarang ini, waktu ini untuk menunjukkannya dalam kursus batu penjuru ini, Anda akan mengikuti desain memikirkan prinsip-prinsip ketika Anda memutuskan apa yang ingin Anda bangun menggunakan alat prototipe profesional untuk merancang antarmuka pengguna maka menggunakan teknologi yang Anda pilih untuk benar-benar membangun apa yang telah Anda rancang. pada akhir batu penjuru ini, Anda akan memiliki proyek berskala besar untuk ditambahkan ke portofolio Anda untuk mendemonstrasikan semua keterampilan baru Anda kepada para pemberi kerja di masa depan.",dm
menunjukkan keahlian desain Anda dengan meneliti masalah dan merancang solusi yang berfokus pada pengguna menunjukkan keterampilan pengkodean Anda dengan membangun solusi perangkat lunak dari desain Anda sendiri menunjukkan kemampuan desain kode profesional Anda dengan membuat basis kode yang terstruktur dengan baik dan dapat dipertahankan,cp
microsoft profesional batu penjuru devops,nm
kursus ini adalah bagian dari program profesional microsoft dalam devops. proyek devops capstone akan memberikan tangan pada lingkungan lab yang akan memvalidasi keterampilan dan pengetahuan yang telah Anda pelajari dengan mengambil seri kursus devops. Anda akan diberikan serangkaian tugas berdasarkan sekitar bidang subjek inti yang tercakup dalam program profesional microsoft yang harus Anda bangun dan selesaikan. tugas akan mencakup bidang-bidang seperti mengotomatisasi penyebaran infrastruktur menggunakan template lengan manajer sumber daya biru mengkonfigurasi dan menerapkan integrasi berkelanjutan dan skenario penyebaran berkelanjutan dalam layanan tim studio visual dan juga menerapkan pengujian dan pendekatan pemantauan aplikasi dan solusi. penyelesaian tugas-tugas yang berhasil akan menghasilkan lulus grade di laboratorium yang divalidasi.,dm
tujuan pembelajaran mengotomatisasi infrastruktur menggunakan template lengan manajer sumber daya biru menerapkan solusi integrasi berkelanjutan menerapkan pengiriman berkelanjutan dan solusi penyebaran berkelanjutan dengan layanan tim studio visual yang menerapkan solusi pengujian seperti tes unit dan pengujian dalam aplikasi implementasi solusi pemantauan produksi menggunakan wawasan aplikasi,cp
menggunakan gpus untuk skala dan mempercepat pembelajaran mendalam,nm
"melatih model pembelajaran mendalam kompleks dengan dataset yang sangat besar, dapat memakan waktu berjam-jam dan terkadang berminggu-minggu untuk berlatih. jadi apa solusi percepatan perangkat keras. Anda dapat menggunakan perangkat keras yang dipercepat seperti google s tensor processing unit tpu atau nvidia gpu untuk mempercepat Anda convolutional neural network computations time pada cloud. chip ini adalah yang dirancang khusus untuk mendukung pelatihan jaringan syaraf serta penggunaan jaringan terlatih inferensi. akselerasi peranti keras baru-baru ini telah terbukti mengurangi waktu pelatihan secara signifikan.tetapi masalahnya adalah bahwa data Anda mungkin sensitif dan Anda mungkin tidak merasa nyaman mengunggahnya pada awan publik yang lebih memilih untuk menganalisisnya pada premis. dalam hal ini Anda perlu menggunakan sistem internal dengan dukungan gpu. salah satu solusinya adalah untuk menggunakan ibm s sistem daya dengan nvidia gpu dan powerai. the powerai platform mendukung perpustakaan pembelajaran mesin dan ketergantungan yang populer termasuk torch tensorflow caffe dan theano.in kursus ini Anda akan tahu apa yang dimaksud dengan percepatan hardware berbasis gpu dan bagaimana hal itu dapat bermanfaat bagi kebutuhan scaling pembelajaran mendalam Anda. Anda juga akan menggunakan jaringan belajar mendalam pada perangkat keras yang dipercepat untuk beberapa masalah termasuk klasifikasi gambar dan video.",dm
